Epoch,Train accuracy,Test accuracy,Train loss,Test loss
1,0.6966631412506104,0.7572746872901917,5.302133083343506,5.429041862487793
2,0.7076677083969116,0.7750177383422852,2.713890314102173,1.6433805227279663
3,0.7284345030784607,0.31511709094047546,1.6792328357696533,8.477710723876953
4,0.7190273404121399,0.7835344076156616,2.223940849304199,1.8793054819107056
5,0.739794135093689,0.7665010690689087,1.580094814300537,2.8171017169952393
6,0.7378416657447815,0.7665010690689087,1.3438949584960938,1.7655432224273682
7,0.7406815886497498,0.7814052700996399,1.2014721632003784,1.179560899734497
8,0.7412140369415283,0.7835344076156616,1.3564146757125854,1.1016697883605957
9,0.7445864677429199,0.7870830297470093,1.3803348541259766,1.399393081665039
10,0.7516862154006958,0.7856636047363281,1.027384877204895,1.2608290910720825
11,0.7589634656906128,0.7707594037055969,1.0233795642852783,1.3813471794128418
12,0.766240656375885,0.802696943283081,0.9409319162368774,0.8658259510993958
13,0.7628682851791382,0.779985785484314,0.9330052137374878,1.0835397243499756
14,0.764998197555542,0.7977288961410522,0.9425750970840454,0.8511972427368164
15,0.7632232904434204,0.7814052700996399,0.9507451057434082,0.8475279211997986
16,0.7635782957077026,0.7707594037055969,0.9449326992034912,1.294105887413025
17,0.7591409087181091,0.7856636047363281,1.007577896118164,1.0604865550994873
18,0.7612708806991577,0.7877927422523499,0.9318654537200928,0.9519572257995605
19,0.7712104916572571,0.7984386086463928,0.8749923706054688,0.819162130355835
20,0.7708555459976196,0.6117814183235168,0.8569383025169373,1.0103741884231567
21,0.7768903374671936,0.799858033657074,0.8507936596870422,0.7994480133056641
22,0.7690805792808533,0.8012775182723999,0.8493568301200867,0.7924252152442932
23,0.7800852060317993,0.7899219393730164,0.8255797624588013,0.814227283000946
24,0.7811501622200012,0.6735273003578186,0.8096088171005249,0.8852890133857727
25,0.7715654969215393,0.6721078753471375,0.8273250460624695,0.8889960050582886
26,0.7815051674842834,0.7849538922309875,0.7978590130805969,0.8160437941551208
27,0.7736954092979431,0.6167494654655457,0.8030673265457153,0.9509047865867615
28,0.7790202498435974,0.7821149826049805,0.7747141718864441,0.7851992845535278
29,0.7831025719642639,0.6408800482749939,0.7552629113197327,0.8839792013168335
30,0.7591409087181091,0.7693399786949158,0.8424962759017944,1.338758945465088
31,0.7665956616401672,0.7771469354629517,0.8216778635978699,0.9518788456916809
32,0.7800852060317993,0.793470561504364,0.7741819024085999,0.7343568801879883
33,0.773517906665802,0.5571327209472656,0.7620605826377869,1.1089051961898804
34,0.7525736689567566,0.7814052700996399,0.8864832520484924,0.7465276122093201
35,0.7776002883911133,0.7920510768890381,0.7562159299850464,0.7262537479400635
36,0.7811501622200012,0.7948899865150452,0.7434450387954712,0.7181866765022278
37,0.7717429995536804,0.7806955575942993,0.7463486194610596,0.7922425866127014
38,0.777245283126831,0.7877927422523499,0.733167827129364,0.7083266377449036
39,0.778310239315033,0.7948899865150452,0.7132546901702881,0.6950500011444092
40,0.7850550413131714,0.7948899865150452,0.7022372484207153,0.6943339705467224
41,0.7784877419471741,0.7948899865150452,0.7052367925643921,0.6795897483825684
42,0.7852325439453125,0.7821149826049805,0.6813952326774597,0.6733944416046143
43,0.7831025719642639,0.7920510768890381,0.67266446352005,0.7057439684867859
44,0.7784877419471741,0.7970191836357117,0.6747349500656128,0.6577661037445068
45,0.7809726595878601,0.793470561504364,0.6557784080505371,0.6498712301254272
46,0.7786652445793152,0.7863733172416687,0.6641466021537781,0.6704126000404358
47,0.780795156955719,0.782824695110321,0.6547907590866089,0.6787922382354736
48,0.7756478786468506,0.7792760729789734,0.6680453419685364,0.6530423760414124
49,0.7809726595878601,0.7941802740097046,0.6322461366653442,0.6255276799201965
50,0.7850550413131714,0.7821149826049805,0.6303289532661438,0.6602237224578857
