Epoch,Train accuracy,Test accuracy,Train loss,Test loss
1,0.6753638386726379,0.7771469354629517,6.301335334777832,2.438438892364502
2,0.721689760684967,0.4528034031391144,1.3268386125564575,2.365065574645996
3,0.7190273404121399,0.7700496912002563,1.6962225437164307,1.101763367652893
4,0.7332268357276917,0.7303051948547363,1.040109634399414,0.518218994140625
5,0.7396166324615479,0.7877927422523499,1.0392440557479858,0.6271155476570129
6,0.7334043383598328,0.773598313331604,1.6184598207473755,3.1333749294281006
7,0.7394391298294067,0.7806955575942993,1.3624826669692993,0.9677649736404419
8,0.7405040860176086,0.793470561504364,1.2505844831466675,0.5104233026504517
9,0.7548810839653015,0.8005678057670593,0.7012700438499451,0.5537632703781128
10,0.7511537075042725,0.7892122268676758,0.9350448846817017,0.5679178237915039
11,0.7541711330413818,0.6614620089530945,0.7481213808059692,0.6007265448570251
12,0.7476038336753845,0.4620298147201538,1.0003242492675781,2.1252312660217285
13,0.7412140369415283,0.7877927422523499,1.215041995048523,1.1511409282684326
14,0.7531061172485352,0.782824695110321,0.8097960948944092,0.8347874283790588
15,0.7463613748550415,0.7565649151802063,1.1053450107574463,0.4781780540943146
16,0.7538161277770996,0.8005678057670593,0.8371327519416809,0.6112256050109863
17,0.7646432518959045,0.7913413643836975,0.6685276031494141,0.7485899329185486
18,0.7541711330413818,0.6593328714370728,0.9591779708862305,0.8024814128875732
19,0.7532836198806763,0.4669978618621826,0.9659121036529541,3.1194369792938232
20,0.7440539598464966,0.773598313331604,1.089354395866394,0.4831596314907074
21,0.7619808316230774,0.7906316518783569,0.625420093536377,0.9870849847793579
22,0.7476038336753845,0.7778566479682922,0.8811470866203308,1.2512186765670776
23,0.7680156230926514,0.7877927422523499,0.6970715522766113,0.8044114112854004
24,0.7623358368873596,0.7636621594429016,0.6639460921287537,0.4507593512535095
25,0.7752928733825684,0.7955996990203857,0.5888896584510803,0.5407224893569946
26,0.7632232904434204,0.8005678057670593,0.6956241726875305,0.6103628873825073
27,0.771032989025116,0.47551456093788147,0.5659648776054382,1.9450050592422485
28,0.7758253216743469,0.8034066557884216,0.6596522331237793,0.5056748390197754
29,0.7680156230926514,0.6905606985092163,0.6100850701332092,0.5472916960716248
30,0.7555910348892212,0.793470561504364,0.7765434384346008,1.0580617189407349
31,0.7708555459976196,0.7899219393730164,0.6218236088752747,0.6268588900566101
32,0.7673056721687317,0.7544357776641846,0.6506456136703491,0.46385741233825684
33,0.780795156955719,0.5649396777153015,0.5252361297607422,0.9938036203384399
34,0.778310239315033,0.7970191836357117,0.5508727431297302,0.4825420677661896
35,0.766240656375885,0.7615330219268799,0.6275596022605896,0.4531821310520172
36,0.7791977524757385,0.7963094115257263,0.5711450576782227,0.5588632822036743
37,0.7756478786468506,0.7856636047363281,0.6492722630500793,0.4806385934352875
38,0.7678381204605103,0.7835344076156616,0.6012508273124695,0.8758793473243713
39,0.7894923686981201,0.8012775182723999,0.4802100360393524,0.4694707691669464
40,0.7823926210403442,0.813342809677124,0.5273495316505432,0.4149472713470459
41,0.7777777910232544,0.7906316518783569,0.5247907042503357,0.6903940439224243
42,0.7841675281524658,0.7906316518783569,0.4898890554904938,0.4331607520580292
43,0.771032989025116,0.7927608489990234,0.5842454433441162,0.663264274597168
44,0.7813276648521423,0.8112136125564575,0.5304304957389832,0.4510051906108856
45,0.7861199975013733,0.8069552779197693,0.4983691871166229,0.43647846579551697
46,0.764998197555542,0.7970191836357117,0.6098906993865967,0.5306565165519714
47,0.7882499098777771,0.8005678057670593,0.48513901233673096,0.5136286616325378
48,0.7937521934509277,0.7991483211517334,0.4649769961833954,0.42680594325065613
49,0.7866524457931519,0.8034066557884216,0.4962597191333771,0.4624057710170746
50,0.7944622039794922,0.7970191836357117,0.44595709443092346,0.5290363430976868
